Cluster ID,Cluster Name,Products,Categories,Brands,Average Price,Cluster Score
CL-01,Hostel Setup,"Stripling Best Price Universal Wired Handheld Photography Video Recording Youtube Caputure Tripod, Tripod Kit, Monopod Kit  (Black, Supports Up To 600 G) | Jeteck Tripod Stand 7 Ft For Live Stream-Led Ring Light With Phone Holder Dimmable For Tik-Tok, Mx Taka Tak, Josh, Moj, Mitron, Vigo, Videos, Instagram Reels, Likee Tripod Stand Ring Flash Tripod Kit  (Multicolor, Supports Up To 2000 G) | Pozub Top Selling Pzbl03 Selfie Stick Tripod With Fill Light +Dustproof Bag Wireless Bluetooth Detachable Remote, 360°Rotation, Selfie Stick And Stand R1S With Flash Light And Remote Control Selfie Stick Extendable Stick Mini Tripod With Detachable Remote For Smart Selfie Phone Holder Camera Flash Brackets Best Use For Make Videos Compatible With Mobiles Video Stand In Gimbal Stabilizer, |In Mobile Holder For Hand| Stand For Online Classes Selfie Sticks & Monopods Tripod, Monopod, Monopod Kit, Tripod Ball Head, Tripod Bracket, Tripod Clamp, Tripod Kit  (Black, Supports Up To 700 G) | Indulekha Bhringa Hair Oil  (100 Ml) | Nova Ng 1153 Digital Usb Trimmer 160 Mins  Runtime 20 Length Settings  (Black) | Krishna Art Sheesham Wood Standard Tv Entertainment Unit Multipurpose Storage Cabinet Solid Wood Tv Entertainment Unit  (Finish Color - Honey, Diy(Do-It-Yourself))",Office | Home | Fashion | Electronics,Flipkart Supermart Kitchen Essentials | Generic | Indulekha | Flipkart Supermart Home Essentials,1648.85,10.0
CL-02,Gym Starter,Himalaya Fairness Kesar Face Wash  (150 Ml) | Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Indulekha Bhringa Hair Oil  (100 Ml) | Man Matters Activated Charcoal Body Wash For Men | Skin Brightening Shower Gel | Niacinamide  (275 Ml) | Nike 5Th Element Deodorant Spray - For Women  (200 Ml) | Himalaya Khus Khus Baby Powder  (100 G),Other | Sports | Fashion | Groceries | Health | Beauty | Home,Himalaya | Nestle Nan Excella Pro | Tresemme | Softouch,1454.0,10.0
CL-03,Weekly Grocery,"Stripling Best Price Universal Wired Handheld Photography Video Recording Youtube Caputure Tripod, Tripod Kit, Monopod Kit  (Black, Supports Up To 600 G) | Everyuth Naturals Brightening Lemon And Cherry Face Wash  (150 G) | Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Indulekha Bhringa Hair Oil  (100 Ml) | Nivea Cocoa Nourish Oil In Lotion  (400 Ml) | Bella Vita Organic Impact Eau De Cologne Perfume For Man With Notes Of Orange,Nutmeg,Woody Cedar Eau De Toilette  -  100 Ml  (For Men)",Other | Sports | Fashion | Groceries | Office | Beauty | Home | Electronics | Automotive,Everyuth Naturals | Set Wet Studio X | Generic | Indulekha,685.56,10.0
CL-04,Movie Night,"Samyang 85Mm T1.5 Vdslr Mk2 For Canon  Lens  (Black, 85 Mm) | Benq 24 Inch Full Hd Led Backlit Tn Panel Height Adjustment, 3D, Swivel Adjustment, Flicker-Free Gaming Monitor (Xl2411P)  (Response Time: 1 Ms, 144 Hz Refresh Rate) | Hp Laserjet M1005 Mfp Multi-Function Monochrome Laser Printer (Black Page Cost: 3 Rs.)  (White, Black, Toner Cartridge) | Vyog 10Kg Counter Weight Machine With Stainless Steel Top For Shop, Home Weighing Scale  (Blue) | Boat Storm Call 1.69 Inch Hd Display With Bluetooth Calling And 550 Nits Brightness Smartwatch  (Blue Strap, Free Size) | Portronics Usb Type C Cable 1.2 M Por-1081 Konnect L  (Compatible With All Phones With Type C Port, Grey, One Cable)",Other | Sports | Fashion | Groceries | Health | Beauty | Home | Electronics | Automotive,Scotch Brite | Set Wet Studio X | Complan | Rasna,2993.26,10.0
CL-05,Men's Shaving Ritual,Old Spice Fresh Lime Pre Shave Cream  (70 G) | Spruce Shave Club Perfume Set For Men (Pack Of 4) | Long Lasting Perfume For Men-Best Gift For Men Eau De Parfum  -  32 Ml  (For Men) | Accessoreez Kemei Km-203B Professional Electric Hair Clipper Trimmer Shaver Razor Hair Scissors Hair Cutting Quiet Used For Man And Baby Grooming Kit 60 Min  Runtime 4 Length Settings  (White) | Nivea Men Deep Impact Comfort After Shave Lotion  (100 Ml) | Gillette Venus Hair Removal Razor For Women | Axe Temptation After Shave Lotion  (100 Ml),Other | Fashion,Old Spice | Generic | Nivea Men | Gillette,264.14,5.9
CL-06,Oral Care Deep Clean,"Colgate Kids Barbie Toothpaste  (2 Minute Timer Free)  (80 G) | Meemee Fluoride-Free Strawberry Flavor Toothpaste  (140 G, Pack Of 2) | Colgate Kids Spiderman Toothpaste  (80 G) | Pepsodent Expert Protection Whitening Toothpaste  (140 G) | Closeup Red Hot Mouthwash - Clove Oil  (250 Ml)",Automotive,Colgate | Pepsodent | Closeup | Meemee,131.8,3.7
CL-07,Baby Care Essentials,"Himalaya Nourishing Body Lotion For Normal Skin  (400 Ml) | Vaseline Intensive Care Cocoa Glow Body Lotion  (400 Ml) | Nivea Cocoa Nourish Oil In Lotion  (400 Ml) | Accessoreez Kemei Km-203B Professional Electric Hair Clipper Trimmer Shaver Razor Hair Scissors Hair Cutting Quiet Used For Man And Baby Grooming Kit 60 Min  Runtime 4 Length Settings  (White) | Himalaya Khus Khus Baby Powder  (100 G) | Rudra Creations Metal Desk Chair  (Finish Color - Blue, Diy(Do-It-Yourself))",Other | Fashion | Groceries | Health | Beauty | Home | Automotive,Scotch Brite | Himalaya | Nestle Nan Excella Pro | Vaseline,273.14,10.0
CL-08,First Aid & Wellness,Himalaya Khus Khus Baby Powder  (100 G) | Flipkart Supermart Select Turmeric (Haldi Sticks)  (100 G) | Saffola Fittify Gourmet Superfood Moringa Lemongrass Green Tea Box  (37.5 G),Other | Beauty | Groceries,Himalaya | Saffola | Flipkart Supermart Select,106.67,5.1
CL-09,Car Care Maintenance,"Mcaffeine Coffee Lip Balm For Dry & Pigmented Lips - 24 Hours Moisturization With Coffee Oil And Shea Butter  (Pack Of: 1, 12 G) | Himalaya Anti-Dandruff Shampoo,  (400 Ml) | Pantene Lively Clean Shampoo  (650 Ml) | Dove Intense Repair Shampoo  (650 Ml) | Tresemme Climate Protection Shampoo  (580 Ml) | Clinic Plus Strong & Long Health Shampoo  (340 Ml)",Other | Beauty | Fashion | Automotive,Himalaya | Tresemme | Head & Shoulders | Dove,214.91,10.0
CL-10,Pooja Puja Essentials,Nilkamal Travelite 1 Inch Single Cotton Mattress  (L X W: 72 Inch X 36 Inch),Home,Generic,1563.0,1.7
