Product ID,Product Name,Missions
d8f36b89-bb44-4688-aa61-e6a28bbdfe4f,"Samyang 85Mm T1.5 Vdslr Mk2 For Canon  Lens  (Black, 85 Mm)",Movie Night | Birthday Party Prep
1db56e3d-57c1-475d-90ca-25ddcd5f7a49,"Benq 24 Inch Full Hd Led Backlit Tn Panel Height Adjustment, 3D, Swivel Adjustment, Flicker-Free Gaming Monitor (Xl2411P)  (Response Time: 1 Ms, 144 Hz Refresh Rate)",Movie Night | Birthday Party Prep | Freelancer Remote Setup
62b36d19-71e9-4b67-8458-44269a3a6533,"Vyog 10Kg Counter Weight Machine With Stainless Steel Top For Shop, Home Weighing Scale  (Blue)",Movie Night | Pet Grooming Essentials | Emergency Power & Lighting
1cc530fb-9e28-430b-b4c0-cc3377115f88,"Boat Storm Call 1.69 Inch Hd Display With Bluetooth Calling And 550 Nits Brightness Smartwatch  (Blue Strap, Free Size)",Movie Night | Birthday Party Prep | Pet Grooming Essentials
dc0137fe-4ddd-42e4-bdbd-f453fb8a3839,"Portronics Usb Type C Cable 1.2 M Por-1081 Konnect L  (Compatible With All Phones With Type C Port, Grey, One Cable)",Movie Night | Birthday Party Prep
1833017b-6a09-48cb-9c7b-e2fdba26f6e9,"Mi 10000 Mah Power Bank (22.5 W, Fast Charging)  (Black, Lithium Polymer)",Movie Night | Birthday Party Prep | Travel Packing Essentials | Pet Grooming Essentials
57d65ac2-1330-488c-a1ee-87aa65adae5f,"Gionee Ufit 6 Bluetooth Calling Metallic Frame Smartwatch  (Matte Black Strap, Free Size)",Movie Night | Pet Grooming Essentials
5edf7fd2-ba8e-4ebf-90ec-e573750869c0,"Mifkrt Micro Usb Cable 1 M Vivo Charging Cable For All Vivo/ Phones And Android Phones, Only Cable,  (Compatible With All Mobile Vivo, Oppo, Samsung, Gionee And Mi, Vivo Phones, White, One Cable)",Movie Night | Summer Hydration Kit | Freelancer Remote Setup
de41428c-f14f-4bc8-89ef-3d3c153f48f1,"Stripling Best Price Universal Wired Handheld Photography Video Recording Youtube Caputure Tripod, Tripod Kit, Monopod Kit  (Black, Supports Up To 600 G)",Hostel Setup | Weekly Grocery | Pet Grooming Essentials | Dorm Cooking Essentials | Freelancer Remote Setup
d5a2e07f-2832-49c6-bc97-8c4fe2155afb,"Ubon 10000 Mah Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer)",Movie Night | Birthday Party Prep | Travel Packing Essentials | Pet Grooming Essentials | Emergency Power & Lighting | Weekend Party Prep
376f5bf9-664b-4bae-b9d1-006f9fd89408,"Jeteck Tripod Stand 7 Ft For Live Stream-Led Ring Light With Phone Holder Dimmable For Tik-Tok, Mx Taka Tak, Josh, Moj, Mitron, Vigo, Videos, Instagram Reels, Likee Tripod Stand Ring Flash Tripod Kit  (Multicolor, Supports Up To 2000 G)",Hostel Setup | Freelancer Remote Setup
84f8db18-0e57-4aca-9db7-171a637a0aa3,"Portronics Usb Type C Cable 3 A 1 M Por-656 Konnect Core  (Compatible With Type - C, Black, One Cable)",Movie Night | Birthday Party Prep
aa684593-d92e-4bd8-8423-bf9643ce0a9b,"Nikon Af-S Nikkor 50Mm F/1.8G   Lens  (Black, 90 Mm)",Birthday Party Prep | Travel Packing Essentials
